,LABEL,DATE_TIME,TEXT,PREPROCESSED_TEXT
0,0,Fri Jun 05 14:26:50 2009,About to get threaded and scared ,get thread scare
1,1,Thu May 14 10:13:55 2009,@awaisnaseer I like Shezan Mangooo too!!! I had one yesterday ,like sedan mango one yesterday
2,1,Fri Jun 05 21:02:20 2009,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;Cowboy Up&gt;,work car work show go bed sooooooooooo tire sparrow sign cowboy gt
3,1,Sun Jun 14 22:25:52 2009,"@Marama Actually we start this afternoon!  I will try to have something by Wed. It will be a slow process of collecting, many on vac.",actual start afternoon tri someth wed slow process collect mani vac
4,1,Sun May 31 00:42:12 2009,@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much ,www giworryvot nonstop col love much
5,1,Sun May 17 03:26:30 2009,@mrstessyman What ever you do have a good day. I love knitpicks ,ever good day love knitpick
6,1,Tue Jun 16 04:39:49 2009,"@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer ",sorri fort ask trade scale day answer
7,1,Sun May 03 07:20:15 2009,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose ",get readi church sum cannot watch afa whoop djokov live settl dvr suppos
8,1,Fri May 22 03:11:33 2009,Up early tomorrow. Last open home. Goodnight ,earli tomorrow last open home goodnight
9,0,Wed Jun 17 09:18:19 2009,Needs to shake this gloomy feeling!!    Maybe it's the rain???,need shake gloomi feel mayb rain
10,0,Mon Jun 22 13:51:56 2009,Minecart ride now. Sarah's still too afraid to ride anything fun with me. ,minecraft ride sarahstil afraid ride anyth fun
11,1,Fri May 22 03:27:18 2009,@tb78 Cheers for follow! ,cheer follow
12,0,Fri May 22 00:37:02 2009,@sokendrakouture yea alone ,yea alon
13,1,Mon Jun 15 00:04:06 2009,Good morning! We are blessed with another day to share our light and love with others! ,good morn bless anoth day share light love other
14,1,Sun Apr 19 10:25:32 2009,@RealDeal32 NO! ,
15,1,Sat Apr 18 14:29:38 2009,"@yoginifoodie WEll, thanks, lol- want some?  ",well thank lol want
16,1,Sun May 31 15:03:49 2009,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you ,play own afeee btw vote
17,1,Sat May 30 20:40:57 2009,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! ,got hot tube get movi ice cream mt lil si call night noth like si time
18,0,Thu May 21 23:50:48 2009,@flyingbolt  Not as good without you! ,good without
19,0,Mon Apr 20 05:54:03 2009,"LOL HELP ME, I'm obsessed with Hannah Montana ",lol help obsess hannah montana
