,LABEL,DATE_TIME,TEXT,PREPROCESSED_TEXT
0,0,Fri Jun 05 14:26:50 2009,About to get threaded and scared ,get threaded scared
1,1,Thu May 14 10:13:55 2009,@awaisnaseer I like Shezan Mangooo too!!! I had one yesterday ,user like sedan mango one yesterday
2,1,Fri Jun 05 21:02:20 2009,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;Cowboy Up&gt;,worked car work showing going bed sooooooooooo tired sparrow signing cowboy gt
3,1,Sun Jun 14 22:25:52 2009,"@Marama Actually we start this afternoon!  I will try to have something by Wed. It will be a slow process of collecting, many on vac.",user actually start afternoon try something wed slow process collecting many vac
4,1,Sun May 31 00:42:12 2009,@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much ,user www giant worrywell vote nonstop col love much
5,1,Sun May 17 03:26:30 2009,@mrstessyman What ever you do have a good day. I love knitpicks ,user ever good day love knitpicks
6,1,Tue Jun 16 04:39:49 2009,"@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer ",user sorry forte ask trading scaling day answer
7,1,Sun May 03 07:20:15 2009,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose ",getting ready church summed cannot watch afa whoop djokovic live ill settle dvr suppose
8,1,Fri May 22 03:11:33 2009,Up early tomorrow. Last open home. Goodnight ,early tomorrow last open home goodnight
9,0,Wed Jun 17 09:18:19 2009,Needs to shake this gloomy feeling!!    Maybe it's the rain???,need shake gloomy feeling maybe rain
10,0,Mon Jun 22 13:51:56 2009,Minecart ride now. Sarah's still too afraid to ride anything fun with me. ,minecraft ride sarah still afraid ride anything fun
11,1,Fri May 22 03:27:18 2009,@tb78 Cheers for follow! ,user cheer follow
12,0,Fri May 22 00:37:02 2009,@sokendrakouture yea alone ,user yea alone
13,1,Mon Jun 15 00:04:06 2009,Good morning! We are blessed with another day to share our light and love with others! ,good morning blessed another day share light love others
14,1,Sun Apr 19 10:25:32 2009,@RealDeal32 NO! ,user
15,1,Sat Apr 18 14:29:38 2009,"@yoginifoodie WEll, thanks, lol- want some?  ",user well thanks lol want
16,1,Sun May 31 15:03:49 2009,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you ,user ill play own afeeee btw voted
17,1,Sat May 30 20:40:57 2009,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! ,got hot tubabout go get movie ice cream mt lil si call night nothing like si time
18,0,Thu May 21 23:50:48 2009,@flyingbolt  Not as good without you! ,user good without
19,0,Mon Apr 20 05:54:03 2009,"LOL HELP ME, I'm obsessed with Hannah Montana ",lol help im obsessed hannah montana
20,0,Wed Jun 24 21:57:44 2009,I hate when people have to move away from me ,hate people move away
21,0,Sat Jun 20 10:30:52 2009,http://bit.ly/AEbs3   I can only be sad.  #iranelection,user sad iranelection
22,1,Wed Jun 03 02:49:07 2009,@SCTunstall woah.  I'm glad I cut and ran after two West Wing episodes ,user wah im glad cut ran two west wing episode
23,0,Sun May 31 18:36:38 2009,@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...,user heppells opening sentence describe see nz school developing current govt
24,1,Sun May 17 11:22:44 2009,@IHauntWizards See it! Its amazing ,user see amazing
25,0,Fri Jun 19 03:56:13 2009,"@Luke Oh Luke  , why don't you answer me? pleease try it . Love your music ! Hear it the whole day, really !",user oh luke dont answer please try love music hear whole day really
26,1,Sun May 31 12:56:37 2009,getting ready ,getting ready
27,0,Sun May 03 07:03:20 2009,@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about? Please x,user cant watch im uk tell please x
28,0,Mon Jun 15 07:31:50 2009,I wont forget today .... ,wont forget today
29,1,Sun May 17 23:50:10 2009,"@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa?",user right weï ¿ ½ re page write ruby cocoa
30,1,Mon Jun 15 21:51:12 2009,@Liverpool_TX lol.. okay if I have your permission I'll try.. (will give you credit)  ,user lol okay permission ill try give credit
31,0,Mon Jun 01 04:39:58 2009,@alix_says I'm going to miss freshman year... ,user im going miss freshman year
32,1,Sun May 31 04:09:06 2009,@domkoenig nice pic - like your shirt! ,user nice pic like shirt
33,0,Wed Jun 17 00:06:45 2009,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that ,user om ur bad mean meet u 2nd grade even though hated stayed like
