,LABEL,DATE_TIME,TEXT,sentence_count,token_count,tokens,words_starting_with_vowel,words_starting_with_consonant,UserNames,UserNamesCounts,URLs,URLCounts,Day
0,0,Fri Jun 05 14:26:50 2009,About to get threaded and scared ,1,6,"['About', 'to', 'get', 'threaded', 'and', 'scared']",2,4,[],0,[],0,Fri
1,1,Thu May 14 10:13:55 2009,@awaisnaseer I like Shezan Mangooo too!!! I had one yesterday ,2,11,"['@awaisnaseer', 'I', 'like', 'Shezan', 'Mangooo', 'too', '!!!', 'I', 'had', 'one', 'yesterday']",4,6,['@awaisnaseer'],1,[],0,Thu
2,1,Fri Jun 05 21:02:20 2009,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;Cowboy Up&gt;,1,21,"['worked', 'on', 'my', 'car', 'after', 'work', '.', 'showering', 'then', 'going', 'to', 'bed', '.', 'sooooooooooo', 'tired', '.', 'sparrow', 'signing', 'out', '&lt;Cowboy', 'Up&gt;']",4,12,[],0,[],0,Fri
3,1,Sun Jun 14 22:25:52 2009,"@Marama Actually we start this afternoon!  I will try to have something by Wed. It will be a slow process of collecting, many on vac.",4,28,"['@Marama', 'Actually', 'we', 'start', 'this', 'afternoon', '!', 'I', 'will', 'try', 'to', 'have', 'something', 'by', 'Wed', '.', 'It', 'will', 'be', 'a', 'slow', 'process', 'of', 'collecting,', 'many', 'on', 'vac', '.']",7,17,['@Marama'],1,[],0,Sun
4,1,Sun May 31 00:42:12 2009,@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much ,1,18,"['@gfalcone601', 'Aww', 'Gi', '.', ""don't"", 'worry', '.', ""we'll"", 'vote', 'for', 'you', 'non-stop', 'coz', 'we', 'love', 'you', 'so', 'much']",1,12,['@gfalcone601'],1,[],0,Sun
5,1,Sun May 17 03:26:30 2009,@mrstessyman What ever you do have a good day. I love knitpicks ,3,13,"['@mrstessyman', 'What', 'ever', 'you', 'do', 'have', 'a', 'good', 'day', '.', 'I', 'love', 'knitpicks']",3,8,['@mrstessyman'],1,[],0,Sun
6,1,Tue Jun 16 04:39:49 2009,"@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer ",1,16,"['@GetMeVideo', 'Sorry,', 'not', 'my', 'forte,', 'Ask', 'me', 'about', '#trading,', '#scalping', 'the', 'dax', 'and', 'I', 'can', 'answer']",5,8,['@GetMeVideo'],1,[],0,Tue
7,1,Sun May 03 07:20:15 2009,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose ",1,19,"['Getting', 'ready', 'for', 'church', 'and', 'bummed', 'I', 'cannot', 'watch', 'Rafa', 'whoop', 'Djokovic', 'LIVE,', ""I'll"", 'settle', 'for', 'DVR', 'I', 'suppose']",4,14,[],0,[],0,Sun
8,1,Fri May 22 03:11:33 2009,Up early tomorrow. Last open home. Goodnight ,4,9,"['Up', 'early', 'tomorrow', '.', 'Last', 'open', 'home', '.', 'Goodnight']",3,4,[],0,[],0,Fri
9,0,Wed Jun 17 09:18:19 2009,Needs to shake this gloomy feeling!!    Maybe it's the rain???,2,12,"['Needs', 'to', 'shake', 'this', 'gloomy', 'feeling', '!!', 'Maybe', ""it's"", 'the', 'rain', '???']",1,8,[],0,[],0,Wed
