,generatedText,ourLabels,vaderLabels,perpelexity
0,raping slavery kill hell kill kill hell killed slavery slavery,0,0,6957.29828949041
1,slavery kill kill killed killed raping raping killed kill slavery,0,0,6955.89947595743
2,kill slavery hell kill slavery raping raping hell hell raping,0,0,6957.59764082495
3,hell killed killed killed raping hell hell raping slavery slavery,0,0,6958.59782742485
4,killed hell killed kill slavery hell hell hell raping kill,0,0,6959.69772901428
5,killing hell killed hell hell kill slavery raping kill kill,0,0,6958.89801068249
6,evil hell slavery slavery hell raping kill hell raping raping,0,0,6957.39759776380
7,horrific hell raping killed killed slavery slavery hell kill killed,0,0,6957.09814000934
8,tragedy kill raping hell raping slavery hell slavery raping slavery,0,0,6956.09811147680
9,shittiest killed slavery raping raping raping raping kill killed hell,0,0,6954.49952200390
10,dead kill hell hell hell kill raping hell hell raping,0,0,6961.89730677525
11,devastating raping kill slavery kill kill killed hell raping raping,0,0,6955.9988217519
12,whore hell kill hell raping raping kill kill kill kill,0,0,6957.09831253
13,hated kill hell slavery slavery killed raping killed raping killed,0,0,6955.79870965435
14,pissed hell killed killed raping kill slavery raping killed raping,0,0,6956.69880658907
15,doomed hell kill hell kill kill kill killed kill hell,0,0,6958.0985999006
16,vile slavery raping raping slavery kill hell kill kill raping,0,0,6955.39884769260
17,violence killed kill slavery kill slavery killed raping kill slavery,0,0,6955.29951046690
18,worst hell raping slavery kill raping slavery hell hell hell,0,0,6957.39759776380
19,crisis hell slavery kill kill hell kill slavery hell slavery,0,0,6957.99780174004
20,infuriated killed raping raping hell hell kill raping raping slavery,0,0,6956.49807113074
21,death hell hell kill hell hell slavery kill slavery hell,0,0,6959.29764291299
22,die slavery slavery killed kill raping killed raping hell raping,0,0,6956.6985479051
23,torture slavery raping slavery raping raping slavery kill hell raping,0,0,6954.59884780397
24,havoc raping killed killed hell kill slavery killed hell slavery,0,0,6957.69826065000
25,war slavery killed slavery raping raping raping raping hell raping,0,0,6954.79875291601
26,drowned hell kill raping slavery raping slavery killed raping kill,0,0,6955.19875285520
27,wtf killed raping hell killed hell hell hell raping raping,0,0,6959.59768376569
28,bitch slavery raping slavery raping raping hell hell hell killed,0,0,6957.297499294
29,cruel kill hell slavery slavery hell hell slavery raping kill,0,0,6957.19750292349
30,bullshit hell raping kill slavery hell slavery raping killed kill,0,0,6956.49807113074
31,ruin killed raping kill kill hell kill hell hell killed,0,0,6958.59799998570
32,hate hell killed killed killed raping kill killed hell raping,0,0,6962.98776797716
33,drown killed kill kill killed hell raping killed slavery hell,0,0,6956.79881016587
