,generatedText,ourLabels,vaderLabels,perpelexity
0,raping nick to the last time to get my phone,0,0,774.307640520880
1,slavery and the best friend were all day with my,0,1,1033.20113528815
2,kill myself in bed goodnight everybody and i have to,0,0,922.039782568685
3,hell everybody and i have a great day in the,0,0,484.2343679630587
4,killed the same page i was a good morning at,0,0,768.047735990021
5,killing me a lot of the best friend just got,0,1,699.743700036884
6,evil raping slavery kill me too bad sore but i,0,0,2205.53381462271
7,horrific slavery and i was a little bit of them,0,0,890.802972894950
8,tragedy raping slavery and i love you can do something,0,0,1064.931596036137
9,shittiest slavery and a little kids are the new moon,0,0,1455.1973835629
10,dead its a good morning it is going to get,0,0,474.3391244435094
11,devastating slavery and a great night with my friends in,0,0,1167.437666372954
12,whore ever she is going to see you are you,0,0,541.260375534569
13,hated hell is a great day to get it is,0,0,747.23824267309
14,pissed at work on the last night with me a,0,0,625.484716333147
15,doomed hell is a good morning at the last day,0,0,738.944957168573
16,vile kill chris to go to get a few days,0,0,814.955698775654
17,violence slavery killed the day of the best thing in,0,0,1312.45435414142
18,worst slavery kill myself clearthere will be back to see,0,0,1403.434209504423
19,crisis slavery and the new followers sorry not good morning,0,0,1576.272175530764
20,infuriated hell everybody see you get it would be back,0,0,1246.673455277399
21,death lovely to go to get it was so much,0,0,496.0842449189932
22,die and i dont want to be a lot like,0,0,480.0140758542997
23,torture raping kill slavery killed the day i have my,0,0,1843.943568469379
24,havoc hell yeah but i love it will be back,0,1,699.386157292799
25,war raping nick he was awesome now im in the,0,0,1157.605568535147
26,drowned slavery kill myself in a good to the last,0,0,1071.491643204883
27,wtf iloseweight slavery killed the same thing in the last,0,0,1467.590024028403
28,bitch christ kill slavery killed the last day to be,0,0,1745.970476183539
29,cruel bitch haha i have a few minutes bye everyone,0,0,1108.742019756828
30,bullshit id say hi message raping hell get it was,0,0,2176.32607830626
31,ruin raping nick to go to the last night with,0,0,816.546758581814
32,hate the new iphone and a lot of it is,0,0,875.182192741658
33,drown or something for the new glasses in my mom,0,0,947.460004749182
34,chaos slavery kill hell everybody is the day of a,0,0,2022.431289942533
35,anger which seems like that you have to the last,0,0,773.534041809809
36,depression hell is so far from you have a few,0,0,1055.59247244439
37,retarded slavery kill myself in the last night i am,0,0,1075.817070602853
38,terrifying kill raping tragedy utter hell yeah i am so,0,0,2342.950082150041
39,scam killed the same name to see my phone but,0,0,1347.952071492843
40,pathetic raping slavery kill chris brown go to get ready,0,0,2018.76334357987
41,insanity hell yeah but its a great day i am,0,1,916.007625163450
42,shit im in a little bit of my friends are,0,0,758.995011718257
43,rob ss hm with my friends that im in the,0,0,986.938653592942
