,generatedText,ourLabels,vaderLabels,perpelexity
0,raping slavery and a great time to the best i,0,0,901.688526629573
1,slavery killed tea so i dont want to the last,0,0,719.361764374487
2,kill me too early today i was just woke up,0,0,761.635998213158
3,hell everybody day to the same page of my phone,0,0,1041.17189117735
4,killed a good day with you can get my mom,0,0,814.522345506509
5,killing me to go to work on twitter but i,0,0,493.7590232076347
6,evil me too i am and i cant find you,0,0,670.659470370185
7,horrific hell get ready for the new moon bb already,0,0,1294.71573333514
8,tragedy kill slavery raping nick he is going to go,0,0,1487.508594613089
9,shittiest slavery hell get it was so bad for you,0,0,1273.044986295820
10,dead at the best i love it was so bad,0,0,559.145402869901
11,devastating see my phone tomorrow morning all the best friend,0,1,1132.993406510744
12,whore slavery hell my baby all im in the same,0,0,1388.390807143390
13,hated hell everybody see my phone calls or something for,0,0,2032.089208396503
14,pissed raping kill chris wants this morning it i am,0,0,1892.17905682276
15,doomed hell yeah i have been in your pain work,0,0,1254.604454353975
16,vile hell yeah i love it was so much i,0,0,675.561178188805
17,violence raping nick said no one of them and a,0,0,1707.858118876857
18,worst start exhausted resting the same as you are so,0,0,1592.016627244952
19,crisis raping nick said no i was just woke my,0,0,1597.412590643511
20,infuriated and the best friends in the day to work,0,1,717.319917915508
21,death lovely evening now its been in the last night,0,0,1102.408146590590
22,die and the best of the way to be there,0,1,665.183726689427
23,torture me too early and it will be in my,0,0,789.571568152351
24,havoc was in the new moon trailer wow im not,0,0,994.016022369733
25,war phn slavery kill myself for the day with my,0,0,1510.452063442781
26,drowned raping nick paid weekly webcomic hell yeah i love,0,0,2333.607547333104
27,wtf iloseweight raping nick to go to work on the,0,0,871.321169866929
28,bitch christ raping killed the same as i am a,0,0,1573.771276329314
29,cruel bitch haha yeah i have the best thing in,0,1,1084.547851457627
30,bullshit hell everybody and i love you are you get,0,0,704.582615134304
31,ruin slavery hell my phone calls you have the last,0,0,1668.711097279358
32,hate those injured killed im in the best friend were,0,0,1376.198063709987
33,drown kill me to be a lot of the new,0,0,668.015462985871
34,chaos slavery raping nick paid in the same thing is,0,0,1953.974920925233
35,anger hell everybody is it was a great time i,0,0,1008.430164482008
36,depression its been a great weekend to see you are,0,1,716.350851044068
37,retarded kill me a great time to be back to,0,0,759.158077859396
38,terrifying getoutgetoutgetougetooooouuuuuuuuuuuuutttttttt kill me a lot of my baby boy,0,0,1254.957418556906
39,scam raping killed a great idea serena also juni kill,0,0,3324.81930721665
40,pathetic hell get a good luck i dont have a,0,0,731.25058870616
41,insanity slavery kill me a good night i was so,0,0,1163.994943902011
42,shit alone on my friends in a good luck with,0,1,807.937662129563
43,rob ss kill chris wants to get it i have,0,0,1097.96430597428
44,nasty raping kill hell my friends are the day of,0,0,2085.263325675043
45,died fucking internet wasnt in a little sad i dont,0,0,1358.64882712508
46,po hell get to see you and a great weekend,0,0,808.707630970719
47,wars me to the best friends are going back to,0,1,821.455778390555
48,crappy sunday evening now im sorry for the best thing,0,1,1029.401910593039
49,terribly hell get to see you are not sure it,0,0,1027.755212240438
50,robber raping kill me to the best friends that was,0,0,1335.582280324129
51,starved slavery hell my phone to the day i am,0,0,1160.182923512191
52,ban raping kill chris rocker hell my phone tomorrow morning,0,0,3309.94356699495
53,cheating kill chris rocker slavery killed im not sure it,0,0,2801.307454866647
54,bad for the new album come out to get a,0,0,856.71168632263
55,ass to go out of the same thing it would,0,0,709.916871858063
56,horrible this afternoon the same thing about the way to,0,0,1178.655077314297
57,fuck exams i love it was just woke up on,0,1,679.347569693827
58,fail this weekend to go to the new iphone and,0,0,782.600449327504
59,kills my head to see you and its not a,0,0,755.365033712942
60,suffer slavery and its been a great weekend with a,0,0,1195.37389871966
61,poison ivy kill chris wants to the new album its,0,0,1804.330411423256
62,bastard slavery killed the day to see it is a,0,0,988.788358096442
63,prisoner of my mom asked was awesome haha and i,0,1,1254.844799708685
64,stupid twitter in a good night i dont feel bad,0,1,801.418193736995
65,hurt though lol x xx hell is so i love,0,0,1507.575276323481
66,sorrow raping nick paid weekly so i have been there,0,0,1515.997259955833
67,frustrated hell yeah i dont feel good to be a,0,0,780.55848531639
68,punish raping kill slavery tragedy utter hell get to go,0,0,2992.48975050809
69,casualty raping kill chris to the new moon im not,0,0,1593.127854007634
70,thief hell yeah i love the new followers sorry to,0,0,1150.41012113744
71,loser kill slavery hell everybody and a good morning twitter,0,0,1809.103123899139
72,revenge kill chris brown raping nick he is a great,0,0,2081.66572728371
73,lying slavery and the day of the way you all,0,0,1025.034243073736
74,trapped ashes raping nick said were in the new album,0,0,1890.734577464424
75,sufferers raping kill me to be there is a great,0,0,1005.242128846620
76,terror slavery killed the best thing in my baby has,0,0,1641.82199746208
77,sick again but i dont have the best friend were,0,0,790.297211829770
78,pain in the best thing to go out of the,0,1,545.593839154105
79,failed at the best thing to see a great time,0,1,761.628881046144
80,panic attacks kill slavery tragedy hell my baby has just,0,0,3593.564049983846
81,ugly slavery raping nick kill myself a good luck my,0,0,2779.356925653449
82,rejected by the day of the last night i have,0,0,575.603694498001
83,idiot damn my baby has been trying to see you,0,0,1029.76704642256
84,dumb we have a little bit disappointed man my head,0,0,1242.327179066988
85,depressed cup i have the last time for my phone,0,0,692.676521724550
86,angry than that was a good morning all my phone,0,0,762.127264336399
87,disappointment but i am and i dont think im not,0,0,432.588946615580
88,failing tomorrowtoday slavery raping nick kill chris brown killed a,0,0,4917.92740899786
89,failure slavery raping nick he missed my mom from the,0,0,2517.25052382858
90,prison mid slavery raping killed the best thing about the,0,0,2390.04137203126
91,hating slavery and it looks like that is a few,0,0,873.166173341294
92,unjust slavery hell get my phone calls team getting ready,0,0,2280.804439507234
93,dick raping killed the same as usual suspects kill slavery,0,0,3040.18216111799
94,scare the new moon trailer wow that i am a,0,1,1154.01432615415
95,wasted raping nick slavery killed the last week of the,0,0,2176.72662883136
96,fear were there no more days ago because she is,0,0,1806.071634981926
97,screwed raping nick he is so bad sore throat is,0,0,2181.049922122070
98,mad cup i was so sad day with me feel,0,0,801.021325975411
99,scary probably a good morning everyone who took a little,0,0,1278.040651894687
100,infected kill me to see it will never go to,0,0,1022.650729040625
101,damage hell my phone with my baby in the same,0,0,1005.491451187661
102,miserable slavery hell is going to see the same thing,0,0,1023.535801870232
103,stolen im so much i dont know its not sure,0,0,688.771083226192
104,bomb you are you and it was a little drunk,0,0,637.608395869188
105,enemies hell everybody tonight was in the same thing about,0,0,1442.447055067168
106,fools hell get it will i have to be there,0,0,715.084659956962
107,steal hell yeah i dont know how i was a,0,0,735.580458639590
108,shameful slavery raping nick he was in the new iphone,0,0,1571.774693113443
109,violate kill myself for the same page but it is,0,0,1291.876687807464
110,haters raping nick paid me a lot of my head,0,0,1370.460043750524
111,grief kill me too much today i have a great,0,0,723.866351902759
112,sad about the last night and i was awesome now,0,1,603.119932226955
113,wrong with the day i love you are not in,0,1,571.798075328341
114,poor daughter slavery killed the same time for me to,0,0,1435.524581361831
115,cry too i am so bad i cant wait until,0,0,759.493477453668
116,hurts it is a great day to get better than,0,1,614.505372729116
117,badly decomposed slavery and it was so much fun to,0,0,1134.53893022316
118,terrible were in the same thing i love it was,0,1,603.484396305557
119,disappointed that you get my phone but im so i,0,0,834.456229861435
120,worse rates slavery kill myself for a good luck i,0,0,1713.326044710864
121,gross im going to be back from the day i,0,0,489.2972256099102
122,shame what a good luck then im so sad that,0,0,959.548087432891
123,crying over a great day with you are you get,0,1,746.791885140479
124,broken omg totally love you and i cant wait for,0,1,703.277915071348
125,fake kristen hell my head over to the new album,0,0,1612.324827747398
126,attack my head i dont feel good night and it,0,0,931.074248704900
127,shattered into it was awesome night i dont have to,0,1,761.18364393426
128,ruined raping nick said he missed you have to the,0,0,1243.104464376724
129,ashamed for a few days until friday night with the,0,0,1070.40393454112
130,accident vehicle raping hell yeah im in the last night,0,0,1284.708763143993
131,choked kill chris brown band or go out of my,0,0,1865.063181466763
132,oppressed students must have a few minutes ago get a,0,0,1368.368602702315
133,unpleasant hell my baby boy in the same name can,0,0,1627.30806621586
134,rude to get it will be back to the same,0,0,457.4354915542155
135,jealous d talk to the same thing about to go,0,0,875.222190689551
136,appalled slavery and it was so i dont want to,0,0,604.552406430686
137,irritated raping slavery tragedy utter tragedy utter tragedy hell my,0,0,4917.85620634602
138,frustrations instead of the day to go home from my,0,0,630.316669340170
139,unfortunate slavery kill chris brown raping killed im in the,0,0,2693.493954526408
140,threatened kill myself for you have a lot of it,0,0,860.186404868143
141,forced him in the day of my head hurts sad,0,0,979.226832305728
142,attacking slavery raping killed the day to get it was,0,0,1230.88872194738
143,sucked what a good morning everyone who can get my,0,0,955.173489766544
144,troubles raping slavery hell yeah i was in my head,0,0,1336.86821733278
145,irritating raping slavery and i dont think ill be in,0,0,1075.544497883613
146,attacked slavery kill me a good morning twitter i dont,0,0,1162.015879766313
147,awful is the day i have a great day with,0,1,561.663830259072
148,heartbreaking hell yeah but the best thing about the last,0,1,1361.261270406473
149,beating hell my baby funerals kill chris rocker killed the,0,0,3566.26562784343
150,banned as well see the new moon bb todaygot raping,0,0,1959.937228135147
151,cheat slavery and i was so bad i have a,0,0,592.536167314441
152,dire hell get a few days i am going back,0,0,1192.966372878397
153,scared ewwwwy slavery kill raping horrific killed the new followers,0,0,3802.017961869565
154,tired but i have a great time to see what,0,1,390.749605906723
155,block in the new followers i love you can be,0,1,704.658217653952
156,bloody board updates ftw kill chris brown raping tragedy arms,0,0,4588.85232751314
157,weak hell is a little dull raping tragedy kill slavery,0,0,3152.61341660758
158,attacks this is the best friend just watched the last,0,1,1140.012939678997
159,sadness my baby funerals slavery and i was so far,0,0,1163.710293130824
160,freak kill chris rocker killed the last time i am,0,0,1687.707279527054
161,hates me too late i was in my head over,0,0,899.200882728154
162,annoy slavery and i am going to the day with,0,0,616.754799465516
163,worry about it was so much for a great night,0,1,629.654399758777
164,ruins hell my baby funerals raping nick he missed you,0,0,3073.267728696877
165,mourning kill raping hell yeah im going to go to,0,0,1102.449308911308
166,painful raping kill me feel better out to get to,0,0,1450.30217767209
167,dirty hell my head to the last time with the,0,0,1075.305395761492
168,meaningless kill chris brown slavery tragedy utter tragedy raping killing,0,0,5270.37370613919
169,suck even if you are so bad i have a,0,0,593.31924873732
170,abandon hell yeah i dont know how i was awesome,0,0,757.049116499748
171,undesirable slavery hell is it was just a few minutes,0,0,1252.269141490335
172,woes hell is the new iphone from the best thing,0,0,1297.19216482852
173,ill have to go to the best friends but i,0,1,411.16348210424
174,sadly n dc tho im not good day i have,0,0,1123.617447218396
175,starving artists all day of my phone calls you can,0,0,1180.673035054503
176,broke nt hell yeah i am and i was just,0,0,830.475572749498
177,threats ok i love you get a lot of it,0,1,613.96874478624
178,stress raping nick said he is so i am a,0,0,1275.425880851752
179,lame damn sad i dont want to go to be,0,0,502.1940881546794
180,fakes raping nick said no one day to be a,0,0,1421.010513547946
181,disheartening raping nick said nah mim hell everybody is it,0,0,3431.226137578101
182,weakness raping slavery hell yeah i have to the day,0,0,986.314896612433
183,unhappy kill me feel like it is a great day,0,0,833.528633448239
184,guilty raping hell everybody tonight was a great day to,0,0,1735.556605894110
185,useless bloatware installing now i love it looks nasty raping,0,0,1502.217930622603
186,worries kill slavery and i have been a little kids,0,0,1090.049194453569
187,beaten her tomorrow we are so i dont want the,0,0,990.368683786592
188,vain of the day i have been there is a,0,0,565.774969426686
189,injury stories i have to go for the best friends,0,1,560.911664542567
190,waste raping slavery tragedy kill chris rocker shittiest venue in,0,0,5270.22214102502
191,fails kill slavery tragedy hell my friends in the last,0,0,1970.518924717769
192,lies slavery and the new glasses in the best thing,0,0,1220.67252485547
193,crash dead skin the last time to see my head,0,0,1120.94569993318
194,problem when i have the same as i dont know,0,0,575.5814209669
195,problems kill me i love the new album today but,0,0,1191.22918940924
196,blind raping nick said no its not going to get,0,0,1253.853487371380
197,annoying as i was awesome now im in the same,0,1,608.339443237255
198,damn annoying as you are you have a few things,0,0,775.307792196185
199,dull raping nick paid weekly so far from the day,0,0,2066.15786388984
200,insane but im not going to see you have no,0,0,476.0516575759466
201,fault no i have a great time with my baby,0,1,548.857467073606
