,generatedText,ourLabels,vaderLabels,perpelexity
0,raping hell is a great weekend to be a few,0,0,829.980855793283
1,slavery raping tragedy hell is the new iphone from the,0,0,2086.672383552917
2,kill raping slavery killed the best of my mom got,0,0,2014.394915520705
3,hell everybody is the new followers a good luck with,0,1,1225.128672866096
4,killed tea yet again and i have to get my,0,0,708.697325626173
5,killing me too i have to the day with my,0,0,420.3388915578499
6,evil and i am not the same name with me,0,0,824.522212621560
7,horrific slavery hell yeah i have to the day to,0,0,771.584823095360
8,tragedy utter raping hell my phone with me feel better,0,0,1856.652047941010
9,shittiest kill raping nick paid work and i was awesome,0,0,1515.215806251202
10,dead at the new glasses raping slavery kill myself with,0,0,2496.931766078618
11,devastating see you are you are so bad i have,0,0,555.046419894953
12,whore hell is a great night and the last night,0,0,939.506178883732
13,hated slavery raping hell is going to see you are,0,0,1049.402270904604
14,pissed raping killed a few things in the same name,0,0,1584.286449025047
15,doomed kill chris wants to be in the best friends,0,0,984.038678359191
16,vile raping nick said he is the same thing about,0,0,1752.592335532587
17,violence from the last day to go home and i,0,0,612.646498343225
18,worst start miss you are so much i have to,0,0,596.356059910527
19,crisis slavery and the best of a great time to,0,0,1066.860111178302
20,infuriated and its raining here in the same page i,0,0,1147.37551451868
21,death bed goodnight everybody and i am in the last,0,0,830.241650428111
22,die and i dont want to be there is it,0,0,455.000070979171
23,torture me too bad i love it was just got,0,0,633.940189141229
24,havoc slavery and it was the best thing is going,0,0,1071.766583540956
25,war raping nick he was in the day of it,0,0,1096.230439533436
26,drowned slavery hell yeah i am not going on the,0,0,1056.644979205065
27,wtf slavery and its been a good morning at the,0,0,842.005205904612
28,bitch loljkmines hell yeah i love you have a lot,0,0,712.155025738763
29,cruel kill chris brown hell get a lot lately plaza,0,0,2709.896719960339
30,bullshit kill raping nick to see you can get it,0,0,1381.4399920317
31,ruin your email for the day with me a great,0,1,823.05355093960
32,hate the day to be back to get ready for,0,0,501.180985198770
33,drown raping hell my baby has no one for a,0,0,1647.37667295864
34,chaos hell is so i dont think im sorry to,0,0,856.668905069423
35,anger which is going on a little bit of the,0,0,838.207832517184
36,depression hell my mom from you are you have been,0,0,1051.54896208482
37,retarded slavery and i have a good to get ready,0,0,528.46646108383
38,terrifying hell is a good day to see you can,0,0,729.388626997286
39,scam killed tea yet ill let me too i am,0,0,1453.369492311157
40,pathetic that im sorry for a good luck i dont,0,1,699.835023621330
41,insanity is so much fun but i have a lot,0,0,503.1478928897780
42,shit died weeks until friday in your show tonight to,0,0,2163.81050614707
43,rob raping nick to the best friend redo kill hell,0,0,2378.4299802675
44,nasty storm last night i have a good morning twitter,0,0,624.662691558221
45,died sorry to be in my head i love you,0,1,623.674460532338
46,po good night was just finished with my friends that,0,1,1041.79563602399
47,wars me to see a lot of the day i,0,0,614.932177238429
48,crappy sunday sunday sunday afternoon all day to get ready,0,0,968.725762022213
49,terribly raping kill me too late to get ready to,0,0,1365.628757215859
50,robber hell yeah i love you have been there no,0,0,885.097108200422
51,starved killed raping tragedy arms kill me feel bad day,0,0,3565.426342826463
52,ban kill me to get to the same thing is,0,0,891.994995140370
53,cheating raping nick paid in a great night was a,0,0,1534.069719667761
54,bad its not sure to be a good day for,0,0,747.658034338508
55,ass prison kill slavery and it was so much better,0,0,1316.08543710779
56,horrible friday night was in the last week fuck my,0,0,1357.91329462784
57,fuck wants the day of a lot of them to,0,0,1070.577719820896
58,fail going on my head hurts i am and a,0,0,928.683858712294
59,kills my friends that you are you can get to,0,0,738.16381533109
60,suffer slavery kill myself in a little bit of it,0,0,1620.802159993656
61,poison raping slavery and i love you have to be,0,0,635.508611662384
62,bastard hell everybody and i am in the new glasses,0,0,926.060599759241
63,prisoner of the last one to get ready for me,0,0,637.339760010908
64,stupid fuppin kill me i dont want the same thing,0,0,1203.74845072514
65,hurt now i dont know how to go to get,0,0,457.0912887875643
66,sorrow raping nick said were all the last night with,0,0,1550.731961900619
67,frustrated killed a great day of it i have been,0,0,820.091469847277
68,punish hell everybody tonight was a few times and the,0,0,1787.528209753169
69,casualty kill slavery raping hell yeah but its raining hard,0,0,2991.103547843542
