,generatedText,ourLabels,vaderLabels,perpelexity
0,raping kill hell yeah killed the tragedy slavery evil shittiest,0,0,5530.27330839886
1,slavery killed tea so raping nick kill shittiest tragedy killing,0,0,5678.97634389367
2,kill me raping nick said he died weeks killed im,0,0,3711.908778036476
3,hell slavery raping tragedy utter horrific shittiest kill killing me,0,0,5425.13002150305
4,killed the shittiest hell yeah slavery and horrific tragedy raping,0,0,4865.80151798808
5,killing raping nick said hell kill me tragedy killed the,0,0,4752.812175289408
6,evil is hell slavery killed the dead kill raping nick,0,0,4714.02003619324
7,horrific ended slavery killed tea i hate hell kill myself,0,0,3825.058957630699
8,tragedy raping kill hell slavery and shittiest killed tea i,0,0,5710.94528749129
9,shittiest hell raping kill slavery and horrific evil and tragedy,0,0,6185.58955613621
10,dead hell killed raping horrific killing slavery kill me shittiest,0,0,6270.47247476303
11,devastating see you slavery raping nick kill me tragedy utter,0,0,3800.87297411974
12,whore slavery and killed a raping killing me tragedy utter,0,0,4867.38511478488
13,hated each raping hell killed slavery tragedy arms horrific kill,0,0,6055.46159435909
14,pissed at the slavery killed tea so kill me raping,0,0,3421.118047120276
15,doomed hell yeah i hate it was slavery and kill,0,0,1771.499452518898
16,vile hell slavery raping nick to kill chris brown horrific,0,0,4679.06711489543
17,violence hell kill me raping nick slavery horrific ended shittiest,0,0,5456.88143793076
18,worst dreams of the kill chris wants to raping hell,0,0,2759.59899086381
19,crisis hell kill chris to raping killed im not tragedy,0,0,3970.11377843314
20,infuriated and kill me raping slavery horrific killed a tragedy,0,0,5590.75543475457
21,death lovely slavery and raping nick to killed the horrific,0,0,4816.35172483220
22,die because you slavery and kill myself horrific hell yeah,0,0,4404.80066368080
23,torture me killed raping slavery killing kill myself shittiest tragedy,0,0,6092.38769790654
24,havoc raping nick paid me slavery tragedy killed im not,0,0,3638.470409876562
25,war phn slavery and raping killed im not kill me,0,0,3525.32768265127
26,drowned kill me raping hell killed the horrific killing all,0,0,5185.30346749476
27,wtf kill me hell tragedy raping slavery killing killed im,0,0,5849.54971317401
28,bitch loljkmines slavery kill hell killed raping shittiest evil me,0,0,6055.46161937814
29,cruel kill me killed the raping slavery hell tragedy utter,0,0,5184.93083958427
30,bullshit slavery kill me horrific ended up killing raping killed,0,0,5257.03340298205
31,ruin your kill chris rocker tragedy hell slavery raping horrific,0,0,5664.39005594881
32,hate raping nick to hell tragedy slavery kill me evil,0,0,5567.751472530816
33,drown kill me horrific raping killed a hell tragedy killing,0,0,5929.46960336474
34,chaos slavery and hell killed a horrific raping kill me,0,0,5559.02373511092
35,anger hell raping tragedy kill me killing all horrific ended,0,0,5473.98988879798
36,depression slavery and hell raping nick kill killed im tragedy,0,0,5747.39013221350
37,retarded hell killed a horrific raping killing me evil slavery,0,0,5532.62928392277
38,terrifying hell yeah i raping tragedy utter slavery kill me,0,0,4027.73112910643
