LABEL,DATE_TIME,TEXT,preprocessed_text
0,Fri Jun 05 14:26:50 2009,About to get threaded and scared ,"['about', 'to', 'get', 'threaded', 'and', 'scared']"
1,Thu May 14 10:13:55 2009,@awaisnaseer I like Shezan Mangooo too!!! I had one yesterday ,"['i', 'like', 'sedan', 'mango', 'too', 'i', 'had', 'one', 'yesterday']"
1,Fri Jun 05 21:02:20 2009,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;Cowboy Up&gt;,"['worked', 'on', 'my', 'car', 'after', 'work', 'showing', 'then', 'going', 'to', 'bed', 'sooooooooooo', 'tired', 'sparrow', 'signing', 'out', 'cowboy', 'gt']"
1,Sun Jun 14 22:25:52 2009,"@Marama Actually we start this afternoon!  I will try to have something by Wed. It will be a slow process of collecting, many on vac.","['actually', 'we', 'start', 'this', 'afternoon', 'i', 'will', 'try', 'to', 'have', 'something', 'by', 'wed', 'it', 'will', 'be', 'a', 'slow', 'process', 'of', 'collecting', 'many', 'on', 'vac']"
1,Sun May 31 00:42:12 2009,@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much ,"['www', 'giant', 'worrywell', 'vote', 'for', 'you', 'nonstop', 'col', 'we', 'love', 'you', 'so', 'much']"
1,Sun May 17 03:26:30 2009,@mrstessyman What ever you do have a good day. I love knitpicks ,"['what', 'ever', 'you', 'do', 'have', 'a', 'good', 'day', 'i', 'love', 'knitpicks']"
1,Tue Jun 16 04:39:49 2009,"@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer ","['sorry', 'not', 'my', 'forte', 'ask', 'me', 'about', 'trading', 'scaling', 'the', 'day', 'and', 'i', 'can', 'answer']"
1,Sun May 03 07:20:15 2009,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose ","['getting', 'ready', 'for', 'church', 'and', 'summed', 'i', 'cannot', 'watch', 'afa', 'whoop', 'djokovic', 'live', 'ill', 'settle', 'for', 'dvr', 'i', 'suppose']"
1,Fri May 22 03:11:33 2009,Up early tomorrow. Last open home. Goodnight ,"['up', 'early', 'tomorrow', 'last', 'open', 'home', 'goodnight']"
0,Wed Jun 17 09:18:19 2009,Needs to shake this gloomy feeling!!    Maybe it's the rain???,"['needs', 'to', 'shake', 'this', 'gloomy', 'feeling', 'maybe', 'its', 'the', 'rain']"
0,Mon Jun 22 13:51:56 2009,Minecart ride now. Sarah's still too afraid to ride anything fun with me. ,"['minecraft', 'ride', 'now', 'sarah', 'still', 'too', 'afraid', 'to', 'ride', 'anything', 'fun', 'with', 'me']"
1,Fri May 22 03:27:18 2009,@tb78 Cheers for follow! ,"['cheers', 'for', 'follow']"
0,Fri May 22 00:37:02 2009,@sokendrakouture yea alone ,"['yea', 'alone']"
1,Mon Jun 15 00:04:06 2009,Good morning! We are blessed with another day to share our light and love with others! ,"['good', 'morning', 'we', 'are', 'blessed', 'with', 'another', 'day', 'to', 'share', 'our', 'light', 'and', 'love', 'with', 'others']"
1,Sun Apr 19 10:25:32 2009,@RealDeal32 NO! ,['no']
1,Sat Apr 18 14:29:38 2009,"@yoginifoodie WEll, thanks, lol- want some?  ","['well', 'thanks', 'lol', 'want', 'some']"
1,Sun May 31 15:03:49 2009,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you ,"['ill', 'play', 'against', 'you', 'and', 'own', 'you', 'afeeee', 'btw', 'i', 'voted', 'for', 'you']"
